tweet,label
".. bbm ga tekor? mau kayak srilanka?  tapi kan harga naik klo bbm naik, biaya hidup makin tinggi???  ya itu dah hampir pasti, tidak ada yg lebih baik, bbm naik biaya hidup naik, bbm tdk naik dijamin stok bbm akan berkurang. sekarang kita cuma harus mikir mana ...",kontra
"@MataNajwa BBM itu kalau memang harus ikut harga pasar maka ikut saja daripada naik turun subsidi selalu dibilang membebani APBN tapiiii semua gaji dan UMP, UMK juga harus naik sebesar yg sama kalau perlu lebih besar. Aman pasti.",pro
Kita siap memperjuangkan hak hak rakyat yang hari ini tertindak oleh para rezim yang membabi buta menghantam anggaran dengan dalih mensejahterakan rakyat. #BBMNaik_RakyatMenjerit  https://t.co/kwaAQRFnjl,kontra
Mau naik berat badan 1-3kg/minggu dengan cara sehat dan alami MRPRO solusinya ORDER SMS/WA 082236790939 BBM D2F894C0  https://t.co/caxslyJIfr,pro
@MCAOps Tidak berpengaruh pd pemerintahan sekarang.. Suka atau tidak BBM tetap naik...🙏 Kecuali thn 98,pro
@XXambitions @twitkocheng Ini pas waktu BBM udah naik,pro
"mas, klo kamu pinter harusnya tuitnya ga gini. ga ada yg mau bbm naik, sy juga kerasa bgt, biasahya isi 250 full tank skrg ga bisa.  cuma mbok bayangin. klo negara udah ga bisa impor bbm lagi krn duit habis buat nutup subsidi, apa iya kita bakal dijatah 1 liter perhari demi...",kontra
Terakhir isi bensin di pom adalah 13 hari lalu when harga bbm belum naik.. 30k dah full dan 10knya jajan teabreak. Skrg 40k baru full dan ga bisa jajan lgi. Ancok 🙃,kontra
"@zoelfick Mas bjorka bikin saya ovt deh. Dia muncul pas chaos2nya Indo, mulai kasus sambo sampe naik nya BBM. Tp yg dia bobol dan bocorin mlah data2 anggota instansi lain yg kasusnya udh pd tenggelam. Knp ga bocorin data sambo aja sama antek2nya? Atau bocorin data presiden sekalian",pro
@anggorosabdo @er_wanty @DrEvaChaniago @PengacaraOgiMks Skenarionya BBM naik,pro
"@ZulkifliLubis69 @msaid_didu Sampai kapan setiap kali BBM naik demo, sekalipun iblis yg jadi presiden ataupun malaikat gak bakalan harga BBM tetap selamanya tentu akan fluktuatif mana ada barang dagangan gak naik turun ?",pro
BBM NAIK BPJS PUN NAIK @DrEvaChaniago,pro
"sebenernya negeri ini cuma muter muter aja isinya, dari jaman Abdurahman wahid jadi presiden ketika ada isu BBM mau naik, cuma ada 2 alasan isinya.  Yang pertama : Subsidi salah sasaran  Yang kedua : Takut Apbn Meledak. Selama 22 tahun ngada tuh yang namanya perbaikan.",pro
"@susipudjiastuti @Anjing_Peking Pekara BBM naik, emosi juga naik kayaknya bu",kontra
"BBM naik tinggi, solusi: tambah anggaran KL Hacker bobol data KL, solusi: tambah anggara KL BUMN merugi, solusi; tambah anggaran KL  Bidji, tambah terus anggaran yg katanya APBN sedang ngos-ngosan. Di ghosting habis2an poko e... 😵‍💫💫",kontra
"BBM Naik, Politik Subsidi Jokowi Diuji Krisis Energi? Ft. Bambang Harymu...  https://t.co/sQ0NXCcehj via @YouTube",pro
“Expensive Petroleum”  Mantra saat bbm naik.  https://t.co/K2JAjeuBIe,pro
"@DrEvaChaniago SMG SEMUA PEJABAT YG TERKAIT DI NAIK KAN NYA BBM, DUSTU SAAT AKAN DITIMPA KESEFIHAN TERDALAM YG LUAR BIASA  BAIK ITU KEHILANGAN SEHAT, ORG2 TERDEKAT, KLUARGA TERCINTA &amp; SEGALANYA. Suatu saat.... Masa itu akan mengintai hidup kalian. AKAN DTG... PASTI",pro
Semoga dapat meringankan bapak dan ibu.🙏😊  #polresngawi #polisingawiramah #polisiindonesia #polriuntukindonesia #polri #polripresisi #polisibaik #bbmnaik #pemerintah #indonesia Reposted from @polres_ngawi  https://t.co/zJ0kCVpO9h,pro
"@AbdulKh29602993 @ruhutsitompul Bkn masalah inflasi terjadi dibeberapa negara tp ketika BBM naik akan memicu tingkat inflasi lebih tinggi akibat naiknya harga2. Saat itulah daya beli masyarakat akan menurun,tegak lurus dgn bertambahnya orang miskin.   https://t.co/vBkDY5NhDr",kontra
"Bbm naik, anies turun.  Yg ld ditutupin apa kalo saya boleh tau, mr? @jokowi",pro
"Saking pinter e dadi goblok. Harga Bbm naik, harga liane melu naek. Harga rokok naek, ra ngaruh ning harga sandang ro pangan suu.",kontra
@DongenakDongora Bbm naik...sambo ntar lagi....,pro
@detikcom Iya mendengar tapi ga taunya hasilnya bbm tetep naik #kingoflipservice,pro
"Harga bbm naik ada usulan untuk menggunakan mobil listrik. Gas lpg 3 kg bakalan ditarik tapi warga katanya dapat kompor dan wajan listrik gratis. Rumah yg wattnya 450 bakalan dinaikkan jadi 900.   Mencoba untuk menduga2 kalau ini tu ""proyek listrik""nya orang2 sono.   Lets see",pro
"@DoankWarto @PKSejahtera Mending PKS, 4 istri (katanya) wajar dong terasa BBM naik. Lalu PDIP yg katanya cukup satu istri (katanya), juga demo berhari-hari dan pakai nangis segala saat masa SBY naikin BBM, pdhl 1 istrikan gak berat. 😃",pro
"@Ign_CXX @mohmahfudmd Serius tanya, emg kita sebagai rackyat jelata harus ambil tindakan kyk gimana ya buat menghadapi kasus BBM naik ?",kontra
"dari kasus sambo, bbm naik, sampe bjorka, jadi bingung mana yg kasus mana yg pengalihan ato malah pengalihan semua😴",pro
PENGEN LIAT AHOKKERS DIMANA KETIKA BBM NAIK DEKOM PERTAMIN MAKAN GAJI BUTA,kontra
"@iwanfals Mestinya saat ini kan waktunya, bernyanyi BBM naik tinggi Susu tak terbeli Orang pintar tarik subsidi Bayi kami kurang gizi  🤣🤣🤣",pro
"Alasan Pemerintah menaikan harga BBM selalu ""subsidi tidak tepat sasaran"" Pdhl kl BBM naik otomatis inflasi terjadi dan rakyat kecilpun yg bnyk kena imbasnya  Jujur aja kek alasanya misalkan butuh dana besar utk pembangunan IKN",pro
